GSM2233972	GSM2233976	GSM2233978	GSM2233982	GSM2233983	GSM2233984	GSM2233985	GSM2233987	GSM2233988	GSM2233990	GSM2233991	GSM2233992	GSM2233993	GSM2233994	GSM2233995	GSM2233997	GSM2234002	GSM2234007	GSM2234010	GSM2234012
EEF2	10.6723109866791	10.4337646646578	10.2024912461548	10.5642972398922	10.8086434135801	10.2375922409588	9.95420193897823	10.5715780303356	10.4144468759646	10.5818187204356	9.90404690145083	10.2344037856391	10.3674639051585	10.6631948952219	10.0601471495563	10.5971968804449	10.5844001565805	10.3136810602133	10.2288662888033	10.113698027722
BEX1	10.2059263042976	10.9395662352578	10.9851680947764	10.3150022782171	10.2443585292795	9.4122208161421	10.6664514701562	10.8355756253803	9.41241916474133	11.183568522396	10.9156847963614	11.0323165772951	10.8541046735396	10.9272179036757	9.8338147449396	10.7908867864579	11.0322949256789	10.5243866290253	10.8797120541046	9.90156497142256
CD81	10.6226322822475	10.2852206977887	10.6010815733105	10.6709157483289	10.9260832833387	10.11079849564	10.2982106015779	10.298666930266	11.0578201689285	10.2061590724205	9.8123006388587	10.4763048061124	10.5423505954895	10.7745662999611	10.2323318439642	10.3331980786113	10.3875133459534	10.6474217731981	10.6917532352985	10.2664547955787
APOD	10.7993198297165	9.75715005584903	10.5417534562211	10.558982804949	10.1164749958896	9.98628101762216	9.51286535321436	9.92252042790132	11.2435874418057	9.80301402759545	9.48789528947188	9.1356119592045	10.7030900757109	10.0199531189733	10.6637275327372	10.3631773956216	10.0567689829166	10.6286576004455	10.49290079554	11.4305847059391
CSRP1	11.331517189164	9.32247739763457	10.0543294635768	10.3036398134528	10.8279408035638	10.8492250624262	10.7065398348317	10.0071479085301	11.070642284864	9.61105598553295	9.68022041824331	10.0026032196126	10.4249901593084	10.485690708915	10.4087229565936	11.127374822387	10.0704182069218	10.7412454086442	10.5109610486107	11.2730491618286
FTH1	10.4779798347729	10.2200814238995	10.3007720526739	10.7541417258843	10.972772280315	10.459192725044	11.2482781071237	9.77473492981047	11.769435551983	10.3182745581924	10.1393909690602	9.94938653870183	10.5480799831146	11.0330023537492	10.5362751708645	9.95313108661897	10.2040886763653	10.6288345975982	10.7624367420971	11.2854323994206
NRGN	10.0808442218052	11.0317950002278	10.9538886283175	10.5309648772702	10.6020067373598	9.73590811457326	10.0401977206881	10.7595606335004	9.27964525002646	10.9676500065391	10.3931664079705	11.1596769315717	10.7621492805083	10.2890223633814	9.80086402807588	10.6833000645934	11.1565330792688	10.7157184090381	10.4635118921514	9.57762631445653
RTN1	10.4691444336654	11.0642500928704	10.9107703265564	10.4922388708082	10.3386243013148	9.55463662276054	10.7885050772998	10.6898066508069	9.73335068657644	11.0492994476031	10.8678635389703	10.9862050433217	10.8744126596434	10.7634769362783	10.0726751126282	10.479857080643	10.9976431662826	10.5925929632697	10.9272001650683	9.66494991577894
DYNLL1	10.1795045408357	11.0385359127884	10.8101451129747	9.93037078730924	9.79754172285045	10.2190995057025	10.774938875758	10.6240080940692	10.8142182855318	11.1637743671872	10.6618134908597	10.822117178124	10.8509111013032	10.8333729227704	10.3703000137538	10.5001695226453	10.9074211292455	10.4796868548705	11.0440333008974	9.90993865182271
MDH1	10.1016379156194	10.8120209046459	11.3891205649809	10.2829610440132	9.94437156756058	8.89988308143912	11.035954881734	10.8607686412759	9.16942551303664	11.2067488159501	10.8780565407719	11.0797781038123	11.0298992244933	10.9184566096596	9.1364463947757	10.3973629664025	11.2474238313933	10.2540909583811	10.7997379153763	9.0543920643469
STXBP1	9.98156007169662	10.7238549890481	10.6865735317479	10.4678972484698	10.2247066137956	9.68372957973651	11.1126636944048	10.4387507753527	9.11422027812574	10.8857740256003	10.5722711695923	10.8253159691372	10.6945999372569	10.5598621137884	9.96156700132425	10.4078435068224	10.8272273607672	10.5236037872421	10.5170754531423	9.54428979627646
YWHAQ	10.0176765892109	10.609938730415	10.6449876926598	10.0041274329552	10.1843729559596	10.2543140989434	10.3077281419942	9.9928917988134	10.4073084745348	10.515001746933	10.5772030921537	10.2970210744012	10.718055028696	10.7141497817783	9.94777590839735	9.92381553722172	10.6625456685511	10.3586709985065	10.8303840439419	10.4493415355072
COX6C	10.0935174895536	11.1907557416771	10.952353832249	10.1325704382155	10.0348908386509	9.62605619095953	10.5917242021385	10.3630034389547	9.8761440429236	10.7116845945169	10.801236518138	10.4148817476626	10.6913914414252	10.7966659861364	9.63813629242681	10.3045939385882	10.5748077959099	10.3760412873753	10.5396281989974	9.8294025681253
RPS25	10.0362209010778	10.6806200317747	10.5558254998333	9.7259430616221	10.4254366523448	10.3274660666023	9.26921758220932	10.33599513572	11.1787155400469	10.4616200202106	10.2911079111554	9.44922884056818	10.6666695185541	10.8774144189181	10.3042868479608	10.16926754571	10.5180303612985	10.4877716046177	10.515016639044	10.9189952231243
PARK7	10.1092565864896	10.7527246351731	10.5989618891411	9.92942627629604	10.4813803328685	9.87686751418492	10.1079565877172	10.1740183055047	10.6171945228426	10.4227595129184	10.3488744104378	10.0113622374995	10.454899802236	10.6737452890686	9.64221896221259	10.6759511668607	10.3864578708986	10.1648700982062	10.6635227621692	10.3142421202982
CKB	9.96161699225654	10.6657861305336	10.527528560626	10.1136962569028	10.4467054587827	9.30057794698716	10.0230265763754	9.85458430490821	10.1029205126643	10.4690627695254	10.5222524209525	10.4720877756785	10.5966186149301	10.5991861586351	10.0654081695665	10.358165617397	10.5279765523017	10.4544097108191	10.437654848192	10.012543113614
ENO2	9.80207769882838	10.784546258277	10.9979016829901	10.1589489422767	10.1923029485853	9.67068724297236	10.7367854872316	10.307574783812	9.18315023164423	10.6497493173644	10.6837809445589	10.6928913355646	10.7252876268591	10.4770481338499	9.47896787421344	10.1782656051165	10.823958967095	10.2612504412246	10.5323747078506	9.39386415638652
TSPAN7	9.96033036779022	10.5541377309336	10.4113227799479	10.2120435984482	10.2476877945813	9.55597962786449	10.6216222213771	10.2367683998096	9.18751353793126	10.7793843501311	10.1687145986964	10.5383909541896	10.3542059639632	10.5853861598331	9.46919047843831	10.3103812330131	10.8047515393194	10.2258235085617	10.4647283332263	9.20157271406745
RPS27	9.93372363837547	9.93752656111488	9.95215883244217	10.1477392336765	10.4035253987579	10.1706843466254	9.84743212156295	9.99259904868747	10.6178712429988	10.1609110912349	9.91639229423236	9.57719584506743	10.1110096353965	10.416087408896	10.3013523198563	10.1312707219252	9.87924370664491	10.1473195235879	10.2362814381054	10.3449331277366
RPS10	9.79222890907141	10.426182012734	10.2628581159268	10.0917537811979	10.2093671753925	10.4210197849345	10.4001405044541	10.2001065071784	10.7914215411642	10.175420410186	10.1926289160057	10.0590843047147	10.1576041882613	10.2964661355972	10.1283350799779	10.1056073654266	10.0296445579853	10.2468595549997	10.1593763163461	10.2788606152492
GABARAPL2	10.1444436971719	10.2195638984287	10.4538109786071	10.1970543870625	10.4059891579775	10.1059500495662	10.4776634998715	10.2206862193741	10.4603058586785	10.4925842752969	10.2505642255996	10.504885122171	10.4920364250985	10.5382193017709	9.45621910137162	10.0716963728369	10.5885755041011	10.1710186562146	10.3928119223278	9.78652796091869
FAU	9.87699491752662	10.2469203842484	10.2394797274444	9.90155011298713	10.2690760673239	10.3744609829234	10.813346293388	10.1322142618486	10.7415101847666	10.2202387209654	10.289825295327	9.79192648194021	10.4827555110848	10.5870838442521	10.1360088119742	9.85275757780529	10.3883060579779	10.4575149615522	10.3804420259139	10.3729217780869
NDUFA4	9.61402736086299	10.8714702034307	10.7530748362095	9.77217405531757	9.95038096170744	9.48560657650138	10.4116131159057	10.1834484901105	9.6767349085507	10.7435854253258	10.7641071406025	10.0889608731966	10.3866740983137	10.8529058295206	9.57525644912674	10.4081065298577	10.6914227157399	9.94331233081886	10.747560845665	9.52485542178378
IFITM3	10.4691334366313	8.69276441224023	9.3842833587591	10.8183015038403	9.84375015314838	10.1907917571595	10.6466576885435	10.6912668381821	10.3360067744564	9.36792439864784	8.61140712840486	9.4596851947536	9.61087567483004	10.7027728138296	10.1524530236177	9.90994994757766	9.29291460210284	9.80204740279876	9.80884385860849	9.82032604272517
RPS3	10.1725096371457	9.85125479594512	10.3278280880206	9.97164050374302	10.0415536360468	10.6585282400699	10.1360811181393	9.62594979707077	10.6698143033236	10.1839924783141	10.0827954727505	10.0440185793388	10.5473723112566	10.0711571062404	10.4421453198198	9.9642441011624	10.4234252256758	9.91174464414097	10.0912136711278	9.93383036025348
CPE	10.306312766447	10.1842948930476	10.0662021375673	9.97538214707077	10.7543268910856	9.65364207531212	9.50526445881555	10.2956382992496	10.6640217870914	10.3737874515061	9.54951827291974	10.4151946721514	10.4457166147307	10.5180681453154	9.56828064329231	10.6420932824007	10.6353411143305	10.3052100035347	10.4557414309054	9.33795926640048
