Sample	Region	Class
GSM3332854	TC	AD
GSM3332855	EC	AD
GSM3332856	CR	AD
GSM3332857	FC	AD
GSM3332860	FC	AD
GSM3332861	TC	AD
GSM3332862	CR	AD
GSM3332863	FC	AD
GSM3332864	FC	AD
GSM3332865	CR	AD
GSM3332866	EC	AD
GSM3332867	TC	AD
GSM3332868	EC	AD
GSM3332869	FC	AD
GSM3332870	TC	AD
GSM3332871	TC	AD
GSM3332872	CR	AD
GSM3332873	CR	AD
GSM3332874	FC	AD
GSM3332875	EC	AD
GSM3332876	TC	AD
GSM3332877	CR	AD
GSM3332878	FC	AD
GSM3332879	EC	AD
GSM3332880	CR	AD
GSM3332881	FC	AD
GSM3332882	EC	AD
GSM3332883	TC	AD
GSM3332889	EC	AD
GSM3332890	FC	AD
GSM3332891	TC	AD
GSM3332892	FC	AD
GSM3332893	TC	AD
GSM3332894	CR	AD
GSM3332895	CR	AD
GSM3332896	EC	AD
GSM3332897	FC	AD
GSM3332898	TC	AD
GSM3332899	TC	AD
GSM3332900	FC	AD
GSM3332901	CR	AD
GSM3332902	TC	AD
GSM3332903	EC	AD
GSM3332904	FC	AD
GSM3332905	CR	AD
GSM3332906	TC	AD
GSM3332907	FC	AD
GSM3332908	CR	AD
GSM3332909	TC	AD
GSM3332910	EC	AD
GSM3332911	TC	AD
GSM3332912	FC	AD
GSM3332913	EC	AD
GSM3332914	CR	AD
GSM3332915	EC	AD
GSM3332916	TC	AD
GSM3332917	FC	AD
GSM3332918	CR	AD
GSM3332919	EC	AD
GSM3332920	CR	AD
GSM3332921	FC	AD
GSM3332922	EC	AD
GSM3332923	CR	AD
GSM3332924	CR	AD
GSM3332925	TC	AD
GSM3332926	FC	AD
GSM3332927	TC	AD
GSM3332928	EC	AD
GSM3332929	FC	AD
GSM3332930	CR	AD
GSM3332931	TC	AD
GSM3332932	TC	AD
GSM3332933	EC	AD
GSM3332934	FC	AD
GSM3332935	CR	AD
GSM3332936	TC	AD
GSM3332937	EC	AD
GSM3332938	TC	AD
GSM3332939	FC	AD
GSM3332940	EC	AD
GSM3332941	TC	AD
GSM3332942	CR	AD
GSM3332943	EC	AD
GSM3332944	TC	AD
GSM3332945	FC	AD
GSM3332946	TC	AD
GSM3332947	CR	AD
GSM3332953	CR	AD
GSM3332954	TC	AD
GSM3332955	TC	AD
GSM3332956	FC	AD
GSM3332957	CR	AD
GSM3332958	CR	AD
GSM3332963	EC	AD
GSM3332964	TC	AD
GSM3332965	FC	AD
GSM3332966	CR	AD
GSM3332967	TC	AD
GSM3332968	CR	AD
GSM3332969	FC	AD
GSM3332970	TC	AD
GSM3332971	EC	AD
GSM3332972	FC	AD
GSM3332973	TC	AD
GSM3332974	EC	AD
GSM3332975	CR	AD
GSM3332976	EC	AD
GSM3332977	TC	AD
GSM3332978	EC	AD
GSM3332979	CR	AD
GSM3332980	FC	AD
GSM3332981	EC	AD
GSM3332982	FC	AD
GSM3332983	CR	AD
GSM3332984	TC	AD
GSM3332985	CR	AD
GSM3332986	FC	AD
GSM3332992	EC	AD
GSM3332993	TC	AD
GSM3332994	CR	AD
GSM3332995	FC	AD
GSM3332999	TC	AD
GSM3333000	FC	AD
GSM3333001	EC	AD
GSM3333002	CR	AD
